session_date,sku_id,spike_flag,unit_cost,unit_price,units_sold,units_refunded,stock_available,restock_lead_days
2025-01-01,DQProduk-001,0,149850.0,239850.0,12,0,109,2
2025-01-02,DQProduk-001,1,149850.0,239850.0,24,5,163,1
2025-01-03,DQProduk-001,0,149850.0,239850.0,9,0,67,3
2025-01-04,DQProduk-001,0,149850.0,239850.0,8,0,125,3
2025-01-05,DQProduk-001,0,149850.0,239850.0,7,1,76,3
2025-01-06,DQProduk-001,0,149850.0,239850.0,8,0,25,0
2025-01-07,DQProduk-001,0,149850.0,239850.0,8,0,151,1
2025-01-08,DQProduk-001,0,149850.0,239850.0,10,2,114,7
2025-01-09,DQProduk-001,1,149850.0,239850.0,14,1,105,3
2025-01-10,DQProduk-001,0,149850.0,239850.0,9,0,107,14
2025-01-11,DQProduk-001,0,149850.0,239850.0,8,1,98,3
2025-01-12,DQProduk-001,0,149850.0,239850.0,15,0,175,3
2025-01-13,DQProduk-001,0,149850.0,239850.0,12,1,122,14
2025-01-14,DQProduk-001,0,149850.0,239850.0,13,0,49,3
2025-01-15,DQProduk-001,0,149850.0,239850.0,9,1,169,3
2025-01-16,DQProduk-001,0,149850.0,239850.0,12,1,191,5
2025-01-17,DQProduk-001,0,149850.0,239850.0,11,1,210,1
2025-01-18,DQProduk-001,0,149850.0,239850.0,10,1,122,1
2025-01-19,DQProduk-001,0,149850.0,239850.0,11,0,172,7
2025-01-20,DQProduk-001,0,149850.0,239850.0,11,0,206,7
2025-01-21,DQProduk-001,0,149850.0,239850.0,11,0,101,2
2025-01-22,DQProduk-001,0,149850.0,239850.0,10,0,148,1
2025-01-23,DQProduk-001,1,149850.0,239850.0,36,2,83,2
2025-01-24,DQProduk-001,0,149850.0,239850.0,12,0,118,1
2025-01-25,DQProduk-001,0,149850.0,239850.0,9,1,165,2
2025-01-26,DQProduk-001,1,149850.0,239850.0,41,6,61,2
2025-01-27,DQProduk-001,1,149850.0,239850.0,51,6,150,14
2025-01-28,DQProduk-001,0,149850.0,239850.0,16,0,172,3
2025-01-29,DQProduk-001,0,149850.0,239850.0,12,0,187,3
2025-01-30,DQProduk-001,0,149850.0,239850.0,10,2,165,1
2025-01-31,DQProduk-001,0,149850.0,239850.0,13,0,183,0
2025-02-01,DQProduk-001,0,149850.0,239850.0,7,1,161,2
2025-02-02,DQProduk-001,0,149850.0,239850.0,11,0,178,14
2025-02-03,DQProduk-001,0,149850.0,239850.0,16,1,55,3
2025-02-04,DQProduk-001,0,149850.0,239850.0,15,1,28,0
2025-02-05,DQProduk-001,0,149850.0,239850.0,10,2,65,7
2025-02-06,DQProduk-001,0,149850.0,239850.0,15,0,185,2
2025-02-07,DQProduk-001,0,149850.0,239850.0,13,0,54,3
2025-02-08,DQProduk-001,0,149850.0,239850.0,8,0,121,3
2025-02-09,DQProduk-001,0,149850.0,239850.0,9,1,117,2
2025-02-10,DQProduk-001,0,149850.0,239850.0,5,0,34,3
2025-02-11,DQProduk-001,0,149850.0,239850.0,9,0,104,2
2025-02-12,DQProduk-001,0,149850.0,239850.0,15,0,39,2
2025-02-13,DQProduk-001,1,149850.0,239850.0,38,4,53,1
2025-02-14,DQProduk-001,0,149850.0,239850.0,11,1,33,7
2025-02-15,DQProduk-001,0,149850.0,239850.0,10,0,136,1
2025-02-16,DQProduk-001,0,149850.0,239850.0,13,2,56,1
2025-02-17,DQProduk-001,1,149850.0,239850.0,36,4,114,3
2025-02-18,DQProduk-001,0,149850.0,239850.0,8,1,202,2
2025-02-19,DQProduk-001,1,149850.0,239850.0,19,3,113,2
2025-02-20,DQProduk-001,0,149850.0,239850.0,10,1,88,5
2025-02-21,DQProduk-001,0,149850.0,239850.0,11,1,36,1
2025-02-22,DQProduk-001,0,149850.0,239850.0,18,0,151,1
2025-02-23,DQProduk-001,0,149850.0,239850.0,8,0,63,0
2025-02-24,DQProduk-001,1,149850.0,239850.0,26,4,125,2
2025-02-25,DQProduk-001,0,149850.0,239850.0,11,0,95,5
2025-02-26,DQProduk-001,0,149850.0,239850.0,14,0,175,5
2025-02-27,DQProduk-001,0,149850.0,239850.0,10,1,171,5
2025-02-28,DQProduk-001,0,149850.0,239850.0,8,1,116,1
2025-03-01,DQProduk-001,0,149850.0,239850.0,11,0,207,1
2025-03-02,DQProduk-001,1,149850.0,239850.0,51,9,188,2
2025-03-03,DQProduk-001,0,149850.0,239850.0,5,0,194,3
2025-03-04,DQProduk-001,0,149850.0,239850.0,6,0,137,2
2025-03-05,DQProduk-001,0,149850.0,239850.0,9,0,92,5
2025-03-06,DQProduk-001,0,149850.0,239850.0,15,0,161,5
2025-03-07,DQProduk-001,0,149850.0,239850.0,5,2,123,2
2025-03-08,DQProduk-001,0,149850.0,239850.0,14,0,212,2
2025-03-09,DQProduk-001,0,149850.0,239850.0,8,0,190,0
2025-03-10,DQProduk-001,0,149850.0,239850.0,4,0,118,3
2025-03-11,DQProduk-001,0,149850.0,239850.0,8,0,170,5
2025-03-12,DQProduk-001,0,149850.0,239850.0,20,3,90,2
2025-03-13,DQProduk-001,1,149850.0,239850.0,53,6,247,3
2025-03-14,DQProduk-001,0,149850.0,239850.0,13,1,140,2
2025-03-15,DQProduk-001,0,149850.0,239850.0,4,0,130,2
2025-03-16,DQProduk-001,0,149850.0,239850.0,11,1,121,14
2025-03-17,DQProduk-001,0,149850.0,239850.0,13,0,179,1
2025-03-18,DQProduk-001,1,149850.0,239850.0,41,7,60,7
2025-03-19,DQProduk-001,0,149850.0,239850.0,3,0,77,2
2025-03-20,DQProduk-001,0,149850.0,239850.0,10,0,78,5
2025-03-21,DQProduk-001,0,149850.0,239850.0,11,0,75,5
2025-03-22,DQProduk-001,0,149850.0,239850.0,11,2,103,1
2025-03-23,DQProduk-001,0,149850.0,239850.0,12,1,53,0
2025-03-24,DQProduk-001,0,149850.0,239850.0,11,0,74,7
2025-03-25,DQProduk-001,1,149850.0,239850.0,41,4,135,3
2025-03-26,DQProduk-001,0,149850.0,239850.0,16,3,75,3
2025-03-27,DQProduk-001,0,149850.0,239850.0,10,0,185,2
2025-03-28,DQProduk-001,0,149850.0,239850.0,9,1,47,1
2025-03-29,DQProduk-001,0,149850.0,239850.0,11,0,54,3
2025-03-30,DQProduk-001,0,149850.0,239850.0,8,0,128,1
2025-03-31,DQProduk-001,1,149850.0,239850.0,19,1,212,2
2025-01-01,DQProduk-002,0,149850.0,194850.0,6,0,148,2
2025-01-02,DQProduk-002,0,149850.0,194850.0,6,1,78,2
2025-01-03,DQProduk-002,1,149850.0,194850.0,18,5,74,2
2025-01-04,DQProduk-002,0,149850.0,194850.0,5,0,125,5
2025-01-05,DQProduk-002,0,149850.0,194850.0,4,0,41,0
2025-01-06,DQProduk-002,0,149850.0,194850.0,8,0,51,3
2025-01-07,DQProduk-002,0,149850.0,194850.0,9,0,88,1
2025-01-08,DQProduk-002,0,149850.0,194850.0,4,0,53,3
2025-01-09,DQProduk-002,0,149850.0,194850.0,6,1,94,3
2025-01-10,DQProduk-002,0,149850.0,194850.0,9,0,118,2
2025-01-11,DQProduk-002,0,149850.0,194850.0,6,0,88,5
2025-01-12,DQProduk-002,0,149850.0,194850.0,9,0,58,3
2025-01-13,DQProduk-002,1,149850.0,194850.0,30,4,74,1
2025-01-14,DQProduk-002,0,149850.0,194850.0,9,1,161,3
2025-01-15,DQProduk-002,0,149850.0,194850.0,5,0,193,2
2025-01-16,DQProduk-002,1,149850.0,194850.0,27,5,200,14
2025-01-17,DQProduk-002,0,149850.0,194850.0,7,0,63,5
2025-01-18,DQProduk-002,1,149850.0,194850.0,24,1,109,5
2025-01-19,DQProduk-002,1,149850.0,194850.0,23,3,180,1
2025-01-20,DQProduk-002,0,149850.0,194850.0,8,1,117,7
2025-01-21,DQProduk-002,0,149850.0,194850.0,4,0,53,5
2025-01-22,DQProduk-002,0,149850.0,194850.0,3,0,13,5
2025-01-23,DQProduk-002,0,149850.0,194850.0,5,0,77,2
2025-01-24,DQProduk-002,0,149850.0,194850.0,7,0,196,2
2025-01-25,DQProduk-002,0,149850.0,194850.0,5,1,191,3
2025-01-26,DQProduk-002,0,149850.0,194850.0,7,0,65,0
2025-01-27,DQProduk-002,0,149850.0,194850.0,7,0,145,2
2025-01-28,DQProduk-002,1,149850.0,194850.0,21,2,117,14
2025-01-29,DQProduk-002,0,149850.0,194850.0,8,1,109,1
2025-01-30,DQProduk-002,1,149850.0,194850.0,22,3,173,2
2025-01-31,DQProduk-002,0,149850.0,194850.0,2,0,136,5
2025-02-01,DQProduk-002,0,149850.0,194850.0,8,1,154,2
2025-02-02,DQProduk-002,0,149850.0,194850.0,8,0,57,3
2025-02-03,DQProduk-002,0,149850.0,194850.0,10,0,184,3
2025-02-04,DQProduk-002,0,149850.0,194850.0,2,0,145,3
2025-02-05,DQProduk-002,0,149850.0,194850.0,10,1,48,2
2025-02-06,DQProduk-002,0,149850.0,194850.0,9,0,99,2
2025-02-07,DQProduk-002,0,149850.0,194850.0,5,0,56,2
2025-02-08,DQProduk-002,1,149850.0,194850.0,13,3,39,7
2025-02-09,DQProduk-002,0,149850.0,194850.0,10,2,128,3
2025-02-10,DQProduk-002,1,149850.0,194850.0,22,1,38,2
2025-02-11,DQProduk-002,0,149850.0,194850.0,9,0,116,5
2025-02-12,DQProduk-002,0,149850.0,194850.0,11,3,33,3
2025-02-13,DQProduk-002,0,149850.0,194850.0,13,0,164,2
2025-02-14,DQProduk-002,0,149850.0,194850.0,5,0,154,7
2025-02-15,DQProduk-002,0,149850.0,194850.0,11,1,130,1
2025-02-16,DQProduk-002,0,149850.0,194850.0,4,1,190,3
2025-02-17,DQProduk-002,0,149850.0,194850.0,9,1,119,1
2025-02-18,DQProduk-002,0,149850.0,194850.0,8,0,55,2
2025-02-19,DQProduk-002,0,149850.0,194850.0,4,1,53,5
2025-02-20,DQProduk-002,0,149850.0,194850.0,10,0,64,3
2025-02-21,DQProduk-002,0,149850.0,194850.0,7,0,174,7
2025-02-22,DQProduk-002,1,149850.0,194850.0,26,1,48,3
2025-02-23,DQProduk-002,0,149850.0,194850.0,9,1,55,1
2025-02-24,DQProduk-002,0,149850.0,194850.0,4,0,35,3
2025-02-25,DQProduk-002,1,149850.0,194850.0,30,4,46,1
2025-02-26,DQProduk-002,0,149850.0,194850.0,3,0,41,7
2025-02-27,DQProduk-002,1,149850.0,194850.0,26,2,67,1
2025-02-28,DQProduk-002,0,149850.0,194850.0,9,2,19,2
2025-03-01,DQProduk-002,0,149850.0,194850.0,8,0,25,5
2025-03-02,DQProduk-002,0,149850.0,194850.0,7,0,33,3
2025-03-03,DQProduk-002,0,149850.0,194850.0,8,0,81,2
2025-03-04,DQProduk-002,0,149850.0,194850.0,10,0,111,3
2025-03-05,DQProduk-002,0,149850.0,194850.0,3,0,173,5
2025-03-06,DQProduk-002,0,149850.0,194850.0,8,1,26,7
2025-03-07,DQProduk-002,1,149850.0,194850.0,19,0,112,3
2025-03-08,DQProduk-002,0,149850.0,194850.0,5,0,26,1
2025-03-09,DQProduk-002,0,149850.0,194850.0,9,3,123,2
2025-03-10,DQProduk-002,1,149850.0,194850.0,16,1,160,2
2025-03-11,DQProduk-002,0,149850.0,194850.0,8,0,134,2
2025-03-12,DQProduk-002,0,149850.0,194850.0,10,0,106,3
2025-03-13,DQProduk-002,0,149850.0,194850.0,4,0,27,3
2025-03-14,DQProduk-002,0,149850.0,194850.0,8,2,64,1
2025-03-15,DQProduk-002,0,149850.0,194850.0,8,0,45,0
2025-03-16,DQProduk-002,0,149850.0,194850.0,8,0,54,7
2025-03-17,DQProduk-002,1,149850.0,194850.0,15,1,203,0
2025-03-18,DQProduk-002,1,149850.0,194850.0,42,8,101,14
2025-03-19,DQProduk-002,0,149850.0,194850.0,5,0,192,1
2025-03-20,DQProduk-002,0,149850.0,194850.0,10,1,155,5
2025-03-21,DQProduk-002,0,149850.0,194850.0,9,0,81,14
2025-03-22,DQProduk-002,0,149850.0,194850.0,13,1,111,2
2025-03-23,DQProduk-002,0,149850.0,194850.0,7,0,126,3
2025-03-24,DQProduk-002,0,149850.0,194850.0,9,0,61,5
2025-03-25,DQProduk-002,0,149850.0,194850.0,4,0,137,7
2025-03-26,DQProduk-002,0,149850.0,194850.0,5,0,41,7
2025-03-27,DQProduk-002,0,149850.0,194850.0,7,1,55,3
2025-03-28,DQProduk-002,0,149850.0,194850.0,7,0,139,0
2025-03-29,DQProduk-002,0,149850.0,194850.0,10,1,119,2
2025-03-30,DQProduk-002,0,149850.0,194850.0,7,0,192,2
2025-03-31,DQProduk-002,0,149850.0,194850.0,5,0,21,3
2025-01-01,DQProduk-003,0,29850.0,59850.0,5,0,46,2
2025-01-02,DQProduk-003,1,29850.0,59850.0,21,1,153,2
2025-01-03,DQProduk-003,0,29850.0,59850.0,8,0,103,3
2025-01-04,DQProduk-003,0,29850.0,59850.0,7,0,71,3
2025-01-05,DQProduk-003,1,29850.0,59850.0,24,3,36,7
2025-01-06,DQProduk-003,0,29850.0,59850.0,8,1,178,3
2025-01-07,DQProduk-003,0,29850.0,59850.0,3,0,117,1
2025-01-08,DQProduk-003,0,29850.0,59850.0,10,2,61,3
2025-01-09,DQProduk-003,0,29850.0,59850.0,7,0,179,2
2025-01-10,DQProduk-003,0,29850.0,59850.0,10,0,136,1
2025-01-11,DQProduk-003,0,29850.0,59850.0,4,0,44,3
2025-01-12,DQProduk-003,0,29850.0,59850.0,5,0,176,2
2025-01-13,DQProduk-003,1,29850.0,59850.0,21,1,145,1
2025-01-14,DQProduk-003,0,29850.0,59850.0,5,0,180,2
2025-01-15,DQProduk-003,1,29850.0,59850.0,26,2,127,2
2025-01-16,DQProduk-003,0,29850.0,59850.0,8,0,30,0
2025-01-17,DQProduk-003,0,29850.0,59850.0,8,0,51,2
2025-01-18,DQProduk-003,0,29850.0,59850.0,11,1,78,2
2025-01-19,DQProduk-003,0,29850.0,59850.0,8,2,104,3
2025-01-20,DQProduk-003,1,29850.0,59850.0,18,0,179,0
2025-01-21,DQProduk-003,0,29850.0,59850.0,10,0,130,1
2025-01-22,DQProduk-003,0,29850.0,59850.0,6,1,184,7
2025-01-23,DQProduk-003,0,29850.0,59850.0,6,0,47,3
2025-01-24,DQProduk-003,1,29850.0,59850.0,27,2,95,3
2025-01-25,DQProduk-003,0,29850.0,59850.0,5,2,136,5
2025-01-26,DQProduk-003,0,29850.0,59850.0,13,0,51,3
2025-01-27,DQProduk-003,1,29850.0,59850.0,27,2,58,3
2025-01-28,DQProduk-003,0,29850.0,59850.0,9,0,23,5
2025-01-29,DQProduk-003,0,29850.0,59850.0,11,1,32,3
2025-01-30,DQProduk-003,0,29850.0,59850.0,8,1,41,1
2025-01-31,DQProduk-003,1,29850.0,59850.0,18,1,98,2
2025-02-01,DQProduk-003,0,29850.0,59850.0,8,0,127,1
2025-02-02,DQProduk-003,0,29850.0,59850.0,8,0,130,3
2025-02-03,DQProduk-003,0,29850.0,59850.0,11,0,81,14
2025-02-04,DQProduk-003,0,29850.0,59850.0,9,0,67,2
2025-02-05,DQProduk-003,0,29850.0,59850.0,6,0,189,3
2025-02-06,DQProduk-003,1,29850.0,59850.0,15,1,159,1
2025-02-07,DQProduk-003,0,29850.0,59850.0,6,0,99,3
2025-02-08,DQProduk-003,0,29850.0,59850.0,6,0,191,7
2025-02-09,DQProduk-003,1,29850.0,59850.0,16,4,107,1
2025-02-10,DQProduk-003,0,29850.0,59850.0,6,0,142,2
2025-02-11,DQProduk-003,0,29850.0,59850.0,7,0,114,2
2025-02-12,DQProduk-003,0,29850.0,59850.0,10,0,82,2
2025-02-13,DQProduk-003,0,29850.0,59850.0,5,0,130,5
2025-02-14,DQProduk-003,0,29850.0,59850.0,4,0,57,3
2025-02-15,DQProduk-003,0,29850.0,59850.0,8,1,181,2
2025-02-16,DQProduk-003,0,29850.0,59850.0,8,1,124,14
2025-02-17,DQProduk-003,1,29850.0,59850.0,19,2,138,1
2025-02-18,DQProduk-003,0,29850.0,59850.0,10,0,44,1
2025-02-19,DQProduk-003,1,29850.0,59850.0,21,5,39,5
2025-02-20,DQProduk-003,0,29850.0,59850.0,9,1,208,3
2025-02-21,DQProduk-003,0,29850.0,59850.0,10,1,181,2
2025-02-22,DQProduk-003,0,29850.0,59850.0,5,0,18,5
2025-02-23,DQProduk-003,0,29850.0,59850.0,8,1,132,7
2025-02-24,DQProduk-003,0,29850.0,59850.0,8,0,42,2
2025-02-25,DQProduk-003,1,29850.0,59850.0,20,5,160,5
2025-02-26,DQProduk-003,0,29850.0,59850.0,5,1,156,1
2025-02-27,DQProduk-003,1,29850.0,59850.0,12,1,73,2
2025-02-28,DQProduk-003,0,29850.0,59850.0,8,0,200,3
2025-03-01,DQProduk-003,0,29850.0,59850.0,7,0,205,0
2025-03-02,DQProduk-003,0,29850.0,59850.0,4,1,187,5
2025-03-03,DQProduk-003,0,29850.0,59850.0,8,0,190,14
2025-03-04,DQProduk-003,0,29850.0,59850.0,6,0,21,0
2025-03-05,DQProduk-003,1,29850.0,59850.0,18,2,111,1
2025-03-06,DQProduk-003,0,29850.0,59850.0,1,0,53,5
2025-03-07,DQProduk-003,0,29850.0,59850.0,4,0,101,1
2025-03-08,DQProduk-003,0,29850.0,59850.0,7,0,17,2
2025-03-09,DQProduk-003,0,29850.0,59850.0,9,1,193,1
2025-03-10,DQProduk-003,0,29850.0,59850.0,5,0,98,7
2025-03-11,DQProduk-003,0,29850.0,59850.0,9,0,21,3
2025-03-12,DQProduk-003,1,29850.0,59850.0,17,0,107,3
2025-03-13,DQProduk-003,0,29850.0,59850.0,8,0,124,2
2025-03-14,DQProduk-003,0,29850.0,59850.0,11,1,120,2
2025-03-15,DQProduk-003,0,29850.0,59850.0,6,0,161,3
2025-03-16,DQProduk-003,0,29850.0,59850.0,6,2,80,1
2025-03-17,DQProduk-003,0,29850.0,59850.0,6,1,66,0
